user,folder_name,remove_start_image,remove_end_image,비고,,,,
,2020-06-18-0,20200618070500_76.jpg,20200618071459_31.jpg,레이더 없음,,,,
,2020-06-18-0,20200618072500_17.jpg,20200618075459_36.jpg,레이더 없음,,,,
,2020-06-18-0,20200618081500_17.jpg,20200618084459_43.jpg,레이더 없음,,,,
,2020-06-18-0,20200618085500_11.jpg,20200618090459_80.jpg,레이더 없음,,,,
,2020-06-18-0,20200618091500_87.jpg,20200618094459_12.jpg,레이더 없음,,,,
,2020-06-18-0,20200618100500_96.jpg,20200618102459_55.jpg,레이더 없음,,,,
,2020-06-18-0,20200618104500_00.jpg,20200618105459_62.jpg,레이더 없음,,,,
,2020-06-18-0,20200618110500_95.jpg,20200618112459_54.jpg,레이더 없음,,,,
,2020-06-18-0,20200618113500_36.jpg,20200618115959_38.jpg,레이더 없음,,,,
,2020-06-18-1,20200618120103_85.jpg,20200618120459_52.jpg,레이더 없음,,,,
,2020-06-18-1,20200618121500_35.jpg,20200618125459_98.jpg,레이더 없음,,,,
,2020-06-18-1,20200618131500_66.jpg,20200618140459_53.jpg,레이더 없음,,,,
,2020-06-18-1,20200618142500_84.jpg,20200618145459_21.jpg,레이더 없음,,,,
,2020-06-18-1,20200618151500_91.jpg,20200618155459_83.jpg,레이더 없음,,,,
,2020-06-18-1,20200618160500_90.jpg,20200618161459_59.jpg,레이더 없음,,,,
,2020-06-18-1,20200618162500_24.jpg,20200618165959_68.jpg,레이더 없음,,,,
,2020-06-19-0,20200619080500_31.jpg,20200619081459_98.jpg,레이더 없음,,,,
,2020-06-19-0,20200619081500_97.jpg,20200619082459_78.jpg,물방울 맺힘,,,,
,2020-06-19-1,20200619165500_32.jpg,20200619165959_61.jpg,레이더 없음,,,,
,2020-06-20-0,-,-,-,,,,
,2020-06-20-1,-,-,-,,,,
,2020-06-21-0,20200621095500_28.jpg,20200621101459_05.jpg,안개,,,,
,2020-06-21-0,20200621110500_03.jpg,20200621112459_50.jpg,안개,,,,
,2020-06-21-1,-,-,빛으로 인한 제거 가능성 존재(16:00~),,,,
,2020-06-22-0,20200622114500_63.jpg,20200622115959_57.jpg,이물질,,,,
,2020-06-22-1,20200622120103_70.jpg,20200622133459_81.jpg,이물질,,,,
,2020-06-22-1,20200622140500_36.jpg,20200622143459_61.jpg,이물질(구석에 존재하는 경우도 있었으나 주기적으로 등장하여 전체 포함),,,,
,2020-06-22-1,20200622150500_98.jpg,20200622154459_79.jpg,이물질,,,,
,2020-06-23-0,20200623095500_75.jpg,20200623100459_95.jpg,레이더 없음,,,,
이윤승,2020-06-23-1,-,-,-,,,,
,2020-06-24-0,20200624072500_84.jpg,20200624084459_72.jpg,레이더 없음,,,,
,2020-06-24-0,20200624090500_52.jpg,20200624092459_96.jpg,레이더 없음,,,,
,2020-06-24-0,20200624093500_94.jpg,20200624104459_33.jpg,레이더 없음,,,,
,2020-06-24-0,20200624105500_29.jpg,20200624115959_63.jpg,레이더 없음,,,,
,2020-06-24-1,20200624120103_47.jpg,20200624122459_10.jpg,레이더 없음,,,,
,2020-06-24-1,20200624123500_69.jpg,20200624125459_07.jpg,레이더 없음,,,,
,2020-06-24-1,20200624130500_17.jpg,20200624131459_08.jpg,레이더 없음,,,,
,2020-06-24-1,20200624132500_16.jpg,20200624134459_40.jpg,레이더 없음,,,,
,2020-06-24-1,20200624140500_13.jpg,20200624141459_23.jpg,레이더 없음,,,,
,2020-06-24-1,20200624142500_81.jpg,20200624144449_58.jpg,레이더 없음,,,,
,2020-06-24-1,20200624153500_47.jpg,20200624165959_65.jpg,레이더 없음 & 빗방울 & 안개,,,,
,2020-06-25-0,20200625070003_74.jpg,20200625115959_86.jpg,운항 중이 아님 (폴더 내 전체 이미지) & 레이더 없음,,,,
,2020-06-25-1,20200625120103_22.jpg,20200625165959_89.jpg,우천 & 다른 구조물 출현 (폴더 내 전체 이미지) & 레이더없음,,,,
